File,Line,Column,DefaultLevel,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint,ToolVersion,RuleId,HelpUri
rt-thread/tools/kconfig-frontends/frontends/qconf/qconf.cc,1154,23,4,4,format,sprintf,Potential format string problem (CWE-134).,Make format string constant.,,CWE-134,"			debug += QString().sprintf(""prompt: <a href=\""m%p\"">"", prop->menu);",71302925af0683923e40e9e64a858ed15dddd019c2cc3998583b5795fe1bd086,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/frontends/qconf/qconf.cc,1227,22,4,4,format,sprintf,Potential format string problem (CWE-134).,Make format string constant.,,CWE-134,"		*text += QString().sprintf(""<a href=\""s%p\"">"", sym);",2b36faaaab20fda806e6fcff7ff3d3bbf1da1effcf7ba88111a8aef68c9826fa,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/frontends/qconf/qconf.cc,1829,2,4,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"	printf(_(""%s [-s] <config>\n"").toLatin1().constData(), progname);",f8dc7d1561089bafca77a522c03de90146ed48170e5ae568791283ebaa2d49e8,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/libs/lxdialog/inputbox.c,56,3,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"		strcpy(instr, init);",5314ccdb9b6125a9fe7f1d93dcd68c8bd4597ee85eccea14fa578f29b5edd8d1,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
rt-thread/tools/kconfig-frontends/libs/lxdialog/util.c,388,2,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"	strcpy(tempstr, prompt);",2d4aaeda519e8c665e54affe43bc750499184107fccdc42acec7f500aed3abb2,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
rt-thread/tools/kconfig-frontends/libs/lxdialog/util.c,619,2,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"	vsnprintf(item_cur->node.str, sizeof(item_cur->node.str), fmt, ap);",02e01f222244f6884f4a412584a267a368e0797485fb7675b7afe80c2f459187,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/libs/lxdialog/util.c,631,2,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"	vsnprintf(item_cur->node.str + strlen(item_cur->node.str),",86e932d86478675d38fc49dd1e998f51709247b9fba4f56acff3512a017eb8cd,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/libs/parser/confdata.c,25,26,4,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"	__attribute__ ((format (printf, 1, 2)));",f2e9dc63b080a8ca06e58d6a2d1eca6b8d015803eae12abff130718ba43cc30e,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/libs/parser/confdata.c,28,26,4,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"	__attribute__ ((format (printf, 1, 2)));",f2e9dc63b080a8ca06e58d6a2d1eca6b8d015803eae12abff130718ba43cc30e,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/libs/parser/confdata.c,40,2,4,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"	vfprintf(stderr, fmt, ap);",381056f19c08f4331c17c78750842a683ae04a2ee42516551c66ce2e05d9807e,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/libs/parser/confdata.c,49,2,4,4,format,vprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"	vprintf(fmt, ap);",953582b8111513f7c9a64b1d9405f17bf2b0aae32e3d8b55539097a0ab3a5766,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/libs/parser/confdata.c,102,3,4,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused).",,CWE-120,"		strcat(res_value, sym_get_string_value(sym));",fda804be7fa0521c79886ada1cc015ccc042ca71a19ba55544faf4f7cc697a55,2.0.19,FF1005,https://cwe.mitre.org/data/definitions/120.html
rt-thread/tools/kconfig-frontends/libs/parser/confdata.c,105,2,4,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused).",,CWE-120,"	strcat(res_value, in);",9c6ce5d9e07f3bd9714b2a4b33311bbe6d53f8bb9c923a1a448d1d38c6e9654b,2.0.19,FF1005,https://cwe.mitre.org/data/definitions/120.html
rt-thread/tools/kconfig-frontends/libs/parser/confdata.c,119,3,4,4,buffer,sprintf,Does not check for buffer overflows (CWE-120).,"Use sprintf_s, snprintf, or vsnprintf.",,CWE-120,"		sprintf(fullname, ""%s/%s"", env, name);",211f125dc55faabfbe0d43a2eeb3405ae3025508225799ee04d676c45390fa90,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/120.html
rt-thread/tools/kconfig-frontends/libs/parser/confdata.c,757,4,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"			strcpy(dirname, name);",ace46ac91cdfc44b6106a74822f6b3aba0c6ae8db161b8a5d66e39dbe3e2f33f,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
rt-thread/tools/kconfig-frontends/libs/parser/confdata.c,773,2,4,4,buffer,sprintf,Does not check for buffer overflows (CWE-120).,"Use sprintf_s, snprintf, or vsnprintf.",,CWE-120,"	sprintf(newname, ""%s%s"", dirname, basename);",12b94877e80f47407302fe6464c05888b33afe7947709926d6813da1f0186263,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/120.html
rt-thread/tools/kconfig-frontends/libs/parser/confdata.c,776,3,4,4,buffer,sprintf,Does not check for buffer overflows (CWE-120).,"Use sprintf_s, snprintf, or vsnprintf.",,CWE-120,"		sprintf(tmpname, ""%s.tmpconfig.%d"", dirname, (int)getpid());",f205788cdc0af60852dc08541e54beac1d4493f0b8277c016441dc90af2a89ba,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/120.html
rt-thread/tools/kconfig-frontends/libs/parser/confdata.c,827,3,4,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused).",,CWE-120,"		strcat(dirname, basename);",a5a0a067ce23dfb8f9be1c2057f8178c71c49fa8746d55bbc0e678d90d5c8405,2.0.19,FF1005,https://cwe.mitre.org/data/definitions/120.html
rt-thread/tools/kconfig-frontends/libs/parser/lconf.c,2391,4,4,4,buffer,sprintf,Does not check for buffer overflows (CWE-120).,"Use sprintf_s, snprintf, or vsnprintf.",,CWE-120,"			sprintf(fullname, ""%s/%s"", env, name);",211f125dc55faabfbe0d43a2eeb3405ae3025508225799ee04d676c45390fa90,2.0.19,FF1015,https://cwe.mitre.org/data/definitions/120.html
rt-thread/tools/kconfig-frontends/libs/parser/menu.c,26,2,4,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"	vfprintf(stderr, fmt, ap);",381056f19c08f4331c17c78750842a683ae04a2ee42516551c66ce2e05d9807e,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/libs/parser/menu.c,36,2,4,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"	vfprintf(stderr, fmt, ap);",381056f19c08f4331c17c78750842a683ae04a2ee42516551c66ce2e05d9807e,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/libs/parser/symbol.c,708,2,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120).,"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused).",,CWE-120,"	strcpy(val, newval);",a08f426ecdd458ac2ddcdfd4cfcf44e4b8c1a29bc629cc0beef286c88c2325ea,2.0.19,FF1001,https://cwe.mitre.org/data/definitions/120.html
rt-thread/tools/kconfig-frontends/libs/parser/symbol.c,940,3,4,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused).",,CWE-120,"		strcat(res, symval);",26890bab897eb11ff88394eddd90959a6bcb0fa79b41f42e07c1a4c3efe77b6c,2.0.19,FF1005,https://cwe.mitre.org/data/definitions/120.html
rt-thread/tools/kconfig-frontends/libs/parser/symbol.c,943,2,4,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused).",,CWE-120,"	strcat(res, in);",3e02ecb26098b418b90c193a5ed8a8f76c8163a582d997e86b8e8c2f2e65397e,2.0.19,FF1005,https://cwe.mitre.org/data/definitions/120.html
rt-thread/tools/kconfig-frontends/libs/parser/util.c,110,3,4,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120).,"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused).",,CWE-120,"		strcat(gs->s, s);",7d3da50f9e0ebd640b1a46fba5bb6c5cf864f22efa66f6013d2a493584260ff8,2.0.19,FF1005,https://cwe.mitre.org/data/definitions/120.html
rt-thread/tools/kconfig-frontends/libs/parser/util.c,120,2,4,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134).",Use a constant for the format specification.,,CWE-134,"	vsnprintf(s, sizeof(s), fmt, ap);",867be09333effcb459cff2e1e6477ea7fde67eabdbdbabb5459e75f4695b4079,2.0.19,FF1019,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/libs/parser/yconf.c,89,51,4,4,format,printf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"#define printd(mask, fmt...) if (cdebug & (mask)) printf(fmt)",9bc1e098112b22c4946ef47e7e2e58dc0039e2e50de5543914be045db5b7986b,2.0.19,FF1016,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/libs/parser/yconf.c,872,21,4,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,#  define YYFPRINTF fprintf,3081513f6d5b8478741bf9545c0ef772dc8cde67f802ca2075b6bc345156c38c,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/libs/parser/yconf.c,2332,2,4,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"	vfprintf(stderr, err, ap);",816f7f755b3d7aa35f6fd9a1043d1771e33ae15233bd428fd6227858cbb3996c,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/libs/parser/yconf.c,2344,2,4,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134).",Use a constant for the format specification.,,CWE-134,"	vfprintf(stderr, err, ap);",816f7f755b3d7aa35f6fd9a1043d1771e33ae15233bd428fd6227858cbb3996c,2.0.19,FF1017,https://cwe.mitre.org/data/definitions/134.html
rt-thread/tools/kconfig-frontends/frontends/conf/conf.c,505,16,3,3,buffer,getopt_long,"Some older implementations do not protect against internal buffer overflows (CWE-120, CWE-20).","Check implementation on installation, or limit the size of all string inputs.",,"CWE-120, CWE-20","	while ((opt = getopt_long(ac, av, ""s"", long_opts, NULL)) != -1) {",13d06c30f2c5bc94a9861129c0b487df55146c7429c7193feca8d545100e0f0d,2.0.19,FF1027,https://cwe.mitre.org/data/definitions/120.html
rt-thread/tools/kconfig-frontends/frontends/conf/conf.c,532,15,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","			seed_env = getenv(""KCONFIG_SEED"");",9b93d96d2df2caee963c3c94c69b9c773f5bd3d56e45c85f9f354a48c5fe9471,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/frontends/conf/conf.c,541,4,3,3,random,srand,This function is not sufficiently random for security-related functions such as key and nonce creation (CWE-327).,Use a more secure technique for acquiring random values.,,CWE-327,			srand(seed);,4dcf6cddd5b88d049b0ecee76506407e48261e47fe948abd338d6a4e76b9278d,2.0.19,FF1048,https://cwe.mitre.org/data/definitions/327.html
rt-thread/tools/kconfig-frontends/frontends/conf/conf.c,604,10,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","		name = getenv(""KCONFIG_ALLCONFIG"");",bab9a7da3e69abbb9a8747f978ffc2ad163622176a98d265e5f984d4a55fb8b8,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/frontends/conf/conf.c,638,11,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","			name = getenv(""KCONFIG_NOSILENTUPDATE"");",401f6b1c239e327576ec6258d6c9535628b56fa898d2dd0e7cb3c8a2cdfa93fd,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/frontends/gconf/gconf.c,1466,8,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20",	env = getenv(SRCTREE);,f94123bf75f9bec66bec71eec79fcb1cc3584ec92ad1e4949de4144d28119408,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/frontends/mconf/mconf.c,1038,12,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","    mode = getenv(""MENUCONFIG_MODE"");",3187a74bd987c5fc7ceaff50865272b252273ea82088b78f7e7ff1cc5df64b48,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/frontends/nconf/nconf.c,1495,9,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","	mode = getenv(""NCONFIG_MODE"");",0375c6c07d816caa382cdd4683724e0c331f9f9fe2136dc06e5fd161b8c7db8c,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/libs/lxdialog/util.c,331,14,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","	color_setup(getenv(""MENUCONFIG_COLOR""));",7b2e8845505c660074bd04b279400412510d90862dde6738a23a22c9861b6a1f,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/libs/parser/confdata.c,72,15,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","	char *name = getenv(""KCONFIG_CONFIG"");",b7c4613026d567e2060fd705d0d7cc1c936f9a35239fd7edfee966fe94b4d954,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/libs/parser/confdata.c,79,15,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","	char *name = getenv(""KCONFIG_AUTOCONFIG"");",cb2262c194134b9c51c76ff6348e02e69e03a0c879acf71bbf38fab5ac7710fb,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/libs/parser/confdata.c,117,8,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20",	env = getenv(SRCTREE);,f94123bf75f9bec66bec71eec79fcb1cc3584ec92ad1e4949de4144d28119408,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/libs/parser/confdata.c,774,8,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","	env = getenv(""KCONFIG_OVERWRITECONFIG"");",04fe941ea3a36cbf49a8799a808620725aca4937ceabe6bb17e923b94b6db1cf,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/libs/parser/confdata.c,1007,9,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","	name = getenv(""KCONFIG_AUTOHEADER"");",e6dfee00c49a9102d28cf811648a4a7399d4ceafa2d6c202927816dcb025dbcc,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/libs/parser/confdata.c,1012,9,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","	name = getenv(""KCONFIG_TRISTATE"");",82f6aa4b8f6043a6200b52763b99950a532d634be82dcd5ea334d3a70cb542ec,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/libs/parser/confdata.c,1136,15,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","		char *env = getenv(""KCONFIG_PROBABILITY"");",87bbb49a5016229641aad2827b0f70188aed9a63c42d85e7788b5dd30914aafb,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/libs/parser/lconf.c,2389,9,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20",		env = getenv(SRCTREE);,f94123bf75f9bec66bec71eec79fcb1cc3584ec92ad1e4949de4144d28119408,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/libs/parser/lkc.h,42,9,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","	return getenv( ""CONFIG_"" ) ?: CONFIG_;",e998d1c0abdfc00a785ed38bcdc4b463d2091f933157d208b3e22e4a07690e84,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/libs/parser/symbol.c,1409,6,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20",	p = getenv(env);,f1a4ebfa9393cba3440b424d6d5d87e49b43e61fc515a7ec534a90f1ad0b2042,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/libs/parser/util.c,65,11,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20",		value = getenv(env_sym->name);,9378bfdc7dcee8e7f4f8492d2bf1134d3d0d9f164a27794802e10e449f40756d,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/libs/parser/yconf.c,2270,6,3,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20).",Check environment variables carefully before using them.,,"CWE-807, CWE-20","	if (getenv(""ZCONF_DEBUG""))",a38918eb7822a39b64fac282b43efba4d40041a6f9e50e9b189d020a6475911c,2.0.19,FF1053,https://cwe.mitre.org/data/definitions/807.html
rt-thread/tools/kconfig-frontends/frontends/conf/conf.c,45,8,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,static char line[PATH_MAX];,cbd3957f12f2484caa5ce827d256d4583e0981eb0cad9d9cdb9d8c1e51fc2cc4,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
rt-thread/tools/kconfig-frontends/frontends/conf/conf.c,324,11,2,2,integer,atoi,"Unless checked, the resulting number can exceed the expected range (CWE-190).","If source untrusted, check both minimum and maximum, even if the input had no minus sign (large numbers can roll over into negative number; consider saving to an unsigned value if that is intended).",,CWE-190,				cnt = atoi(line);,4c9b169767689175744279eb58e332d6896a1946d83c95e744c140cad045ac76,2.0.19,FF1047,https://cwe.mitre.org/data/definitions/190.html
rt-thread/tools/kconfig-frontends/frontends/gconf/gconf.c,84,9,2,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length.",,CWE-119!/CWE-120,	static char buf[256];,99b0e26f0714a1b8ea8f755bfc65dff466b9953aaeb3337b53520ff610f8c232,2.0.19,FF1013,https://cwe.mitre.org/data/definitions/119.html
